axis,\'\ae ksis,
resolvent,rIz\'Alv@nt,\kana
dimension,dIm\'enS@n / dAIm\'enS@n,どっちでも可?
eigenvalue,\'aIgenv\`\ae lju:,
scalar,sk\'eIl@r,\Kana
vector,v\'ekt@r,\kana
quasi-,kw\'eIz2I / -s2I / kw\'A(:)zi,どれでも良さそう?
semi-,[米]s\'emaI / [英]s\'emi,\textipa{s\'emAI} もある?
suffice,s@f\'AIs,
infinite,\'Inf@n@t,「インファイナイト」でない
zero,z\'I:roU,\kana
null,n\'2l,「ヌル」はドイツ語
radius,r\'eIdi@s,\rem
radii,r\'eIdi\`AI,\rem
matrix,m\'eItrIks,\Kana
matrices,m\'eItr@s\`I:z,\rem
index,\'Indeks,\acc
indices,\'Ind@s\`I:z,
parameter,p@r\'\ae m@t@r,\acc
operator,\'Ap@r\`eIt@r,\acc
beta,b\'eIt@ / b\'I:t@,
epsilon,\'eps@l\`An / -l@n / eps\'AIl@n,「イプシロン」ではない?
omega,oUm\'eg@ / oUm\'eIg@,\acc
eta,\'I:t@ / \'eIt@,「エータ」ではない
iota,AI\'oUt@,\Kana
tau,tAU / tO,
tilde,t\'Ild@,\kana
criterion,krAIt\'I(@)ri@n,
arbitrary,\'A@rb@tr\`eri,\acc
common,k\'Am@n,\kana
length,l\'eN(k)T,\rem
height,h\'AIt,\rem
diameter,dAI\'\ae m@t@r,\acc
chaos,k\'eIAs,\Kana
chaotic,keI\'AtIk,\Kana/\acc
gradient,gr\'eIdi@nt,\Kana
